0,7
1,4
2,5
4,6
5,4
5,4
6,3
7,8
9,7
10,5
25,2
26,1
27,4
29,2
30,8
10,8
11,0
12,2
14,1
15,8
15,7
16,4
17,4
19,5
20,0
20,2
21,0
22,4
24,2
25,3
30,0
31,1
32,5
34,8
35,5
35,4
36,8
37,7
39,4
40,8
40,0
41,1
42,2
44,7
45,3
45,4
46,8
47,2
49,2
50,2
50,3
51,1
52,6
54,3
55,5
55,8
56,2
57,3
59,1
60,1
60,5
61,7
62,5
64,3
65,5
65,5
66,6
67,5
69,3
70,6
70,5
71,0
72,2
74,3
75,3
75,4
76,4
77,4
79,5
80,2
80,6
81,5
82,1
84,9
85,3
85,6
86,8
87,5
89,1
90,5
90,4
91,0
92,5
94,9
95,9
95,6
96,4
97,4
99,0
100,9
100,5
101,3
102,5
104,1
105,8
105,7
106,3
107,6
109,1
110,0
110,3
111,6
112,3
114,0
115,4
115,2
116,0
117,2
119,0
120,5
120,2
121,3
122,4
124,8
125,1
125,3
126,2
127,3
129,2
130,2
130,2
131,0
132,0
134,1
135,9
135,7
136,4
137,6
139,3
140,1
140,8
141,8
142,2
144,2
145,5
145,2
146,7
147,5
149,3
150,1
150,3
151,0
152,0
154,6
155,8
155,8
156,5
157,6
159,7
160,6
160,3
161,8
162,1
164,5
165,3
165,8
166,1
167,0
169,9
170,6
170,5
171,1
172,6
174,0
175,7
175,9
176,4
177,7
179,7
180,8
180,3
181,6
182,0
184,0
185,8
185,2
186,0
187,5
189,0
190,1
190,0
191,6
192,6
194,0
195,2
195,5
196,0
197,3
199,8
200,9
200,1
201,3
202,7
204,4
205,5
205,3
206,8
207,4
209,5
210,3
210,4
211,6
212,5
214,9
215,8
215,1
216,1
217,3
219,1
220,8
220,8
221,0
222,1
224,1
225,1
225,6
226,0
227,7
229,8
230,0
230,7
231,6
232,8
234,5
235,4
745,7
746,5
747,3
749,6
750,0
750,8
751,7
752,5
754,9
755,8
755,2
756,6
757,0
759,7
760,6
760,2
761,0
762,0
764,3
765,7
765,7
766,4
767,8
769,6
770,1
770,7
771,8
772,1
774,2
775,9
775,9
776,9
777,3
779,7
780,7
780,4
781,0
782,4
784,7
785,0
785,8
786,0
787,9
789,0
790,7
790,3
791,0
792,0
794,7
795,5
795,9
796,1
797,7
799,1
800,5
800,5
801,1
802,5
804,6
805,2
805,4
806,4
807,6
809,5
810,0
810,4
811,0
812,9
814,4
815,3
815,6
816,6
817,8
819,3
820,3
820,6
821,8
822,7
824,8
825,2
825,1
826,5
827,7
829,6
830,6
830,0
831,2
832,7
834,8
835,9
835,9
836,9
837,1
839,6
840,3
840,9
841,0
842,1
844,3
845,4
845,3
846,7
847,4
849,0
850,3
850,3
851,0
