2021-05-23 17:24:01.475737, 12,25
2021-05-23 17:24:01.484484, 3,25
2021-05-23 17:24:01.486421, 12,25
2021-05-23 17:24:01.486508, 15,25
2021-05-23 17:24:01.486548, 11,25
2021-05-23 17:24:01.487372, 14,24
2021-05-23 17:24:01.488394, 11,25
2021-05-23 17:24:01.489380, 14,24
2021-05-23 17:24:01.489444, 16,25
2021-05-23 17:24:01.490413, 7,25
2021-05-23 17:24:01.490485, 11,25
2021-05-23 17:24:01.491395, 3,25
2021-05-23 17:24:01.491466, 11,25
2021-05-23 17:24:01.492405, 15,25
2021-05-23 17:24:01.492474, 3,25
2021-05-23 17:24:01.493514, 16,24
2021-05-23 17:24:01.493620, 4,24
2021-05-23 17:24:01.493661, 12,24
2021-05-23 17:24:01.494568, 1,24
2021-05-23 17:24:01.494676, 10,25
2021-05-23 17:24:01.494743, 1,24
2021-05-23 17:24:01.495448, 13,25
2021-05-23 17:24:01.495568, 1,25
2021-05-23 17:24:01.496446, 2,24
2021-05-23 17:24:01.497485, 4,24
2021-05-23 17:24:01.497563, 2,25
2021-05-23 17:24:01.498431, 2,25
2021-05-23 17:24:01.498506, 4,25
2021-05-23 17:24:01.499481, 6,24
2021-05-23 17:24:01.499575, 10,24
2021-05-23 17:24:01.499687, 7,25
2021-05-23 17:24:01.499760, 2,25
2021-05-23 17:24:01.500427, 2,24
2021-05-23 17:24:01.500523, 10,25
2021-05-23 17:24:01.501399, 4,24
2021-05-23 17:24:01.501481, 6,25
2021-05-23 17:24:01.502389, 16,25
2021-05-23 17:24:01.502462, 15,24
2021-05-23 17:24:01.503397, 11,24
2021-05-23 17:24:01.505433, 5,24
2021-05-23 17:24:01.510453, 3,24
2021-05-23 17:24:01.511404, 10,25
2021-05-23 17:24:01.512501, 8,24
2021-05-23 17:24:01.513524, 16,25
2021-05-23 17:24:01.513611, 3,24
2021-05-23 17:24:01.513653, 18,25
2021-05-23 17:24:01.514498, 6,24
2021-05-23 17:24:01.514589, 9,24
2021-05-23 17:24:01.514631, 12,24
2021-05-23 17:24:01.515462, 15,24
2021-05-23 17:24:01.515539, 4,24
2021-05-23 17:24:01.515579, 4,25
2021-05-23 17:24:01.516525, 3,24
2021-05-23 17:24:01.516602, 6,24
2021-05-23 17:24:01.517521, 19,24
2021-05-23 17:24:01.517631, 10,24
2021-05-23 17:24:01.518437, 2,24
2021-05-23 17:24:01.518827, 17,25
2021-05-23 17:24:01.518869, 10,24
2021-05-23 17:24:01.519452, 19,25
2021-05-23 17:24:01.519523, 19,25
2021-05-23 17:24:01.520420, 16,24
2021-05-23 17:24:01.520491, 6,24
2021-05-23 17:24:01.520524, 16,25
2021-05-23 17:24:01.521454, 11,25
2021-05-23 17:24:01.521558, 1,24
